2023-12-02 15:42:50.579 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-02 15:42:50.592 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement.zip
2023-12-02 15:46:24.854 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4126000135.txt
2023-12-02 15:46:24.858 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4136032447.txt
2023-12-02 15:46:24.861 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4206006032.txt
2023-12-02 15:46:24.864 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5036027612.txt
2023-12-02 15:46:24.869 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5046009560.txt
2023-12-02 15:46:24.873 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5056021873.txt
2023-12-02 15:46:24.876 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5066029443.txt
2023-12-02 15:46:24.880 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5076039131.txt
2023-12-02 15:46:24.884 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5106044197.txt
2023-12-02 15:46:24.887 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5126008234.txt
2023-12-02 15:46:24.892 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5336015865.txt
2023-12-02 15:46:24.895 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_6016044881.txt
2023-12-02 15:46:24.901 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_6036028482.txt
2023-12-02 15:46:24.905 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_6046034566.txt
2023-12-02 15:46:24.908 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_6056025438.txt
2023-12-02 15:46:24.911 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_6106024162.txt
2023-12-02 15:46:24.915 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_6146033480.txt
2023-12-02 15:46:24.919 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_6166031009.txt
